date,holiday_name,information,more_information,jurisdiction
2016-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,TAS
2016-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,VIC
2016-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,WA
2016-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,SA
2016-05-02,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.ocpe.nt.gov.au/working_in_the_ntps/legislation/public_holidays%0A,NT
2016-05-02,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,QLD
2016-06-06,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,WA
2016-06-13,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.gg.gov.au/queens-birthday-2014-honours-list,ACT
2016-06-13,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,https://www.gg.gov.au/queens-birthday-2014-honours-list,ACT
2016-06-13,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.gg.gov.au/queens-birthday-2014-honours-list,NSW
2016-06-13,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,https://www.gg.gov.au/queens-birthday-2014-honours-list,NSW
2016-06-13,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.gg.gov.au/queens-birthday-2014-honours-list,NT
2016-06-13,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,https://www.gg.gov.au/queens-birthday-2014-honours-list,NT
2016-06-13,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.gg.gov.au/queens-birthday-2014-honours-list,SA
2016-06-13,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,https://www.gg.gov.au/queens-birthday-2014-honours-list,SA
2016-06-13,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.gg.gov.au/queens-birthday-2014-honours-list,TAS
2016-06-13,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,https://www.gg.gov.au/queens-birthday-2014-honours-list,TAS
2016-06-13,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.gg.gov.au/queens-birthday-2014-honours-list,VIC
2016-06-13,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,https://www.gg.gov.au/queens-birthday-2014-honours-list,VIC
2016-08-01,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",http://www.ocpe.nt.gov.au/working_in_the_ntps/legislation/public_holidays%0A,NT
2016-09-26,Queen's Birthday,Non-metropolitan local authorities in WA may celebrate the Queen's Birthday Public Holiday on an alternative date,http://www.commerce.wa.gov.au/labourrelations/content/Employers/Pay_rates_leave_and_conditions/Regional_Dates_for_the_Queens.html,WA
2016-09-26,Family & Community Day,A holiday for people to spend with their family and friends.,http://www.cmd.act.gov.au/communication/holidays,ACT
2016-09-30,AFL Grand Final,Friday before the AFL Grand Final,NA,VIC
2016-10-03,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,ACT
2016-10-03,Queen's Birthday,Celebrated on First Monday in October in Queensland.,https://www.gg.gov.au/queens-birthday-2014-honours-list,QLD
2016-10-03,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,NSW
2016-10-03,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,SA
2016-11-01,Melbourne Cup Day,All of Victoria unless alternate local holiday has been arranged by non-metro council.,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,VIC
2016-12-24,Christmas Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483,SA
2016-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,ACT
2016-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,NSW
2016-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,NT
2016-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,QLD
2016-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,TAS
2016-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,VIC
2016-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,WA
2016-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,SA
2016-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,ACT
2016-12-26,Christmas Day holiday,Substitute for Christmas Day,NA,SA
2016-12-26,Christmas Day holiday,Substitute for Christmas day,NA,SA
2016-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,NSW
2016-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,NT
2016-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,QLD
2016-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,WA
2016-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,TAS
2016-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,VIC
2016-12-27,Christmas Day holiday,Substitute for Christmas Day,NA,ACT
2016-12-27,Boxing Day holiday,Boxing Day falls on a Sunday or Monday the next following Tuesday is also a public holiday.,NA,WA
2016-12-27,Proclamation Day,Occurs the day after Christmas Day.,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
2016-12-27,Christmas Day holiday,Substitute for Christmas day,NA,ACT
2016-12-27,Christmas Day holiday,Substitute for Christmas Day,NA,NSW
2016-12-27,Christmas Day holiday,Substitute for Christmas day,NA,NSW
2016-12-27,Christmas Day holiday,Substitute for Christmas Day,NA,NT
2016-12-27,Christmas Day holiday,Substitute for Christmas day,NA,NT
2016-12-27,Christmas Day holiday,Substitute for Christmas Day,NA,QLD
2016-12-27,Christmas Day holiday,Substitute for Christmas day,NA,QLD
2016-12-27,Christmas Day holiday,Substitute for Christmas Day,NA,WA
2016-12-27,Christmas Day holiday,Substitute for Christmas day,NA,WA
2016-12-27,Christmas Day holiday,Substitute for Christmas Day,NA,TAS
2016-12-27,Christmas Day holiday,Substitute for Christmas day,NA,TAS
2016-12-27,Christmas Day holiday,Substitute for Christmas Day,NA,VIC
2016-12-27,Christmas Day holiday,Substitute for Christmas day,NA,VIC
2016-12-31,New Year's Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483,SA
2017-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,ACT
2017-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,NSW
2017-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,NT
2017-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,QLD
2017-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,TAS
2017-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,VIC
2017-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,WA
2017-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,SA
2017-01-02,Additional day,NA,NA,ACT
2017-01-02,New Year's Day Holiday,Additional day,NA,ACT
2017-01-02,Additional day,NA,NA,NSW
2017-01-02,New Year's Day Holiday,Additional day,NA,NSW
2017-01-02,Additional day,NA,NA,NT
2017-01-02,New Year's Day Holiday,Additional day,NA,NT
2017-01-02,Additional day,NA,NA,QLD
2017-01-02,New Year's Day Holiday,Additional day,NA,QLD
2017-01-02,Additional day,NA,NA,TAS
2017-01-02,New Year's Day Holiday,Additional day,NA,TAS
2017-01-02,Additional day,NA,NA,VIC
2017-01-02,New Year's Day Holiday,Additional day,NA,VIC
2017-01-02,Additional day,NA,NA,WA
2017-01-02,New Year's Day Holiday,Additional day,NA,WA
2017-01-02,Additional day,NA,NA,SA
2017-01-02,New Year's Day Holiday,Additional day,NA,SA
2017-01-26,Australia Day,Always celebrated on 26 January,NA,ACT
2017-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,ACT
2017-01-26,Australia Day,Always celebrated on 26 January,NA,NSW
2017-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,NSW
2017-01-26,Australia Day,Always celebrated on 26 January,NA,NT
2017-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,NT
2017-01-26,Australia Day,Always celebrated on 26 January,NA,QLD
2017-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,QLD
2017-01-26,Australia Day,Always celebrated on 26 January,NA,TAS
2017-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,TAS
2017-01-26,Australia Day,Always celebrated on 26 January,NA,VIC
2017-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,VIC
2017-01-26,Australia Day,Always celebrated on 26 January,NA,WA
2017-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,WA
2017-01-26,Australia Day,Always celebrated on 26 January,NA,SA
2017-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,SA
2017-02-12,Royal Hobart Regatta,NA,NA,TAS
2017-03-06,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,WA
2017-03-13,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,TAS
2017-03-13,Canberra Day,"Held on the second Monday of March each year in Canberra, to celebrate the naming ceremony of AustraliaŐs capital which took place on 12 March 1913.",http://www.cmd.act.gov.au/communication/holidays,ACT
2017-03-13,March public holiday,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
2017-03-13,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,VIC
2017-03-13,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://worksafe.tas.gov.au/resources/public_holidays,TAS
2017-04-14,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,ACT
2017-04-14,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,NSW
2017-04-14,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,NT
2017-04-14,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,QLD
2017-04-14,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,TAS
2017-04-14,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,VIC
2017-04-14,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,WA
2017-04-14,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,SA
2017-04-15,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,ACT
2017-04-15,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,NSW
2017-04-15,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,NT
2017-04-15,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,SA
2017-04-15,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,QLD
2017-04-15,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,VIC
2017-04-16,Easter Sunday,Public Holiday as part of Easter.,NA,ACT
2017-04-16,Easter Sunday,Public Holiday as part of Easter.,NA,NSW
2017-04-16,Easter Sunday,Public Holiday as part of Easter.,NA,QLD
2017-04-16,Easter Sunday,Public Holiday as part of Easter.,NA,VIC
2017-04-17,Easter Monday,Public Holiday as part of Easter.,NA,ACT
2017-04-17,Easter Monday,Public Holiday as part of Easter.,NA,NSW
2017-04-17,Easter Monday,Public Holiday as part of Easter.,NA,NT
2017-04-17,Easter Monday,Public Holiday as part of Easter.,NA,QLD
2017-04-17,Easter Monday,Public Holiday as part of Easter.,NA,TAS
2017-04-17,Easter Monday,Public Holiday as part of Easter.,NA,VIC
2017-04-17,Easter Monday,Public Holiday as part of Easter.,NA,WA
2017-04-17,Easter Monday,Public Holiday as part of Easter.,NA,SA
2017-04-18,Easter Tuesday,Restricted public holiday in Tasmania. Observed by some awards/agreements and the State Public Service,http://worksafe.tas.gov.au/resources/public_holidays,TAS
2017-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,ACT
2017-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,ACT
2017-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,NSW
2017-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,NSW
2017-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,NT
2017-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,NT
2017-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,QLD
2017-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,QLD
2017-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,TAS
2017-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,TAS
2017-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,VIC
2017-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,VIC
2017-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,WA
2017-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,WA
2017-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,SA
2017-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,SA
2017-05-01,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.ocpe.nt.gov.au/working_in_the_ntps/legislation/public_holidays%0A,NT
2017-05-01,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,QLD
2017-06-05,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,WA
2017-06-12,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.gg.gov.au/queens-birthday-2014-honours-list,ACT
2017-06-12,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.gg.gov.au/queens-birthday-2014-honours-list,NSW
2017-06-12,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.gg.gov.au/queens-birthday-2014-honours-list,NT
2017-06-12,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.gg.gov.au/queens-birthday-2014-honours-list,SA
2017-06-12,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.gg.gov.au/queens-birthday-2014-honours-list,TAS
2017-06-12,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.gg.gov.au/queens-birthday-2014-honours-list,VIC
2017-08-07,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",http://www.ocpe.nt.gov.au/working_in_the_ntps/legislation/public_holidays%0A,NT
2017-08-07,Bank Holiday,NA,NA,NSW
2017-09-25,Queen's Birthday,Non-metropolitan local authorities in WA may celebrate the Queen's Birthday Public Holiday on an alternative date,http://www.commerce.wa.gov.au/labourrelations/content/Employers/Pay_rates_leave_and_conditions/Regional_Dates_for_the_Queens.html,WA
2017-09-25,Family and Community Day,A holiday for people to spend with their family and friends.,http://www.cmd.act.gov.au/communication/holidays,ACT
2017-09-25,Queen's Birthday,Non-metropolitan local authorities in WA may celebrate the Queen's Birthday Public Holiday on an alternative date,NA,WA
2017-09-25,Family & Community Day,A holiday for people to spend with their family and friends.,http://www.cmd.act.gov.au/communication/holidays,ACT
2017-09-29,AFL Grand Final,Friday before the AFL Grand Final,NA,VIC
2017-09-29,AFL Grand Final,Friday before the AFL Grand Final,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,VIC
2017-10-02,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,ACT
2017-10-02,Queen's Birthday,Celebrated on First Monday in October in Queensland.,https://www.gg.gov.au/queens-birthday-2014-honours-list,QLD
2017-10-02,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,NSW
2017-10-02,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,SA
2017-11-06,Recreation Day,NA,NA,TAS
2017-11-07,Melbourne Cup,All of Victoria unless alternate local holiday has been arranged by non-metro council.,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,VIC
2017-11-07,Melbourne Cup Day,All of Victoria unless alternate local holiday has been arranged by non-metro council,NA,VIC
2017-12-24,Christmas Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483,NT
2017-12-24,Christmas Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
2017-12-24,Christmas Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483,SA
2017-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,ACT
2017-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,NSW
2017-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,NT
2017-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,QLD
2017-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,TAS
2017-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,VIC
2017-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,WA
2017-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,SA
2017-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,ACT
2017-12-26,Proclamation Day,Occurs the day after Christmas Day.,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
2017-12-26,Proclamation Day,Substitute for Saturday 26 December.  Occurs the day after Christmas Day,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
2017-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,NSW
2017-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,TAS
2017-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,NT
2017-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,VIC
2017-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,QLD
2017-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,WA
2017-12-31,New Year's Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483,NT
2017-12-31,New Year's Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
2017-12-31,New Year's Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483,SA
2018-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,ACT
2018-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,NSW
2018-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,NT
2018-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,QLD
2018-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,TAS
2018-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,VIC
2018-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,WA
2018-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,SA
2018-01-26,Australia Day,Always celebrated on 26 January,NA,ACT
2018-01-26,Australia Day,Always celebrated on 26 January,NA,NSW
2018-01-26,Australia Day,Always celebrated on 26 January,NA,NT
2018-01-26,Australia Day,Always celebrated on 26 January,NA,QLD
2018-01-26,Australia Day,Always celebrated on 26 January,NA,TAS
2018-01-26,Australia Day,Always celebrated on 26 January,NA,VIC
2018-01-26,Australia Day,Always celebrated on 26 January,NA,WA
2018-01-26,Australia Day,Always celebrated on 26 January,NA,SA
2018-02-12,Royal Hobart Regatta,NA,NA,TAS
2018-03-05,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,WA
2018-03-12,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,TAS
2018-03-12,Canberra Day,"Held on the second Monday of March each year in Canberra, to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.",http://www.cmd.act.gov.au/communication/holidays,ACT
2018-03-12,March public holiday,The Holidays Act 1910 provides for the third Monday in March to be a public holiday.,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
2018-03-12,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,VIC
2018-03-30,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,ACT
2018-03-30,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,NSW
2018-03-30,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,NT
2018-03-30,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,QLD
2018-03-30,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,TAS
2018-03-30,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,VIC
2018-03-30,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,WA
2018-03-30,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,SA
2018-03-31,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,ACT
2018-03-31,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,NSW
2018-03-31,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,NT
2018-03-31,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,QLD
2018-03-31,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,SA
2018-03-31,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,VIC
2018-04-01,Easter Sunday,Public Holiday as part of Easter.,NA,ACT
2018-04-01,Easter Sunday,Public Holiday as part of Easter.,NA,NSW
2018-04-01,Easter Sunday,Public Holiday as part of Easter.,NA,QLD
2018-04-01,Easter Sunday,Public Holiday as part of Easter.,NA,VIC
2018-04-02,Easter Monday,Public Holiday as part of Easter.,NA,ACT
2018-04-02,Easter Monday,Public Holiday as part of Easter.,NA,NSW
2018-04-02,Easter Monday,Public Holiday as part of Easter.,NA,NT
2018-04-02,Easter Monday,Public Holiday as part of Easter.,NA,QLD
2018-04-02,Easter Monday,Public Holiday as part of Easter.,NA,TAS
2018-04-02,Easter Monday,Public Holiday as part of Easter.,NA,VIC
2018-04-02,Easter Monday,Public Holiday as part of Easter.,NA,WA
2018-04-02,Easter Monday,Public Holiday as part of Easter.,NA,SA
2018-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,ACT
2018-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,NSW
2018-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,NT
2018-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,QLD
2018-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,TAS
2018-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,VIC
2018-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,WA
2018-04-25,ANZAC Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,SA
